1	402	0	399
1	327	14	278
1	189	17	169
1	134	4	132
1	89	3	88
1	79	0	75
1	75	3	75
1	56	0	54
1	40	1	39
1	36	0	36
1	27	2	27
1	26	2	26
1	25	0	25
1	18	0	17
1	17	0	17
1	16	0	16
1	12	0	12
1	11	0	11
1	9	0	9
1	9	0	9
1	7	0	7
1	6	1	6
1	5	0	5
1	4	0	4
1	4	0	4
1	4	0	4
1	3	0	3
1	3	0	3
1	3	0	3
1	3	0	3
1	3	0	3
1	2	1	2
1	2	1	2
1	2	1	2
1	2	0	2
1	2	0	2
1	2	0	2
1	2	0	2
1	2	0	2
1	1	0	1
1	1	0	1
1	1	0	1
2	46442	590	45888
2	1891	34	1866
2	1646	24	1584
2	981	18	967
2	746	2	736
2	395	5	388
2	367	4	360
2	345	6	345
2	301	4	289
2	245	3	243
2	235	3	234
2	162	0	162
2	158	2	153
2	84	0	84
2	51	0	51
2	40	1	40
2	30	0	30
2	28	0	28
2	27	1	26
2	20	1	20
2	19	0	19
2	17	0	17
2	17	0	17
2	17	0	17
2	6	1	6
2	6	0	6
2	6	0	6
2	5	0	5
2	5	0	5
2	4	0	4
2	4	0	4
2	3	1	3
2	2	0	2
2	2	0	2
2	1	0	1
2	1	0	1
2	1	0	1
2	1	0	1
2	1	0	1
2	1	0	1
3	81748	3283	889
3	23049	1812	16483
3	9037	120	1655
3	1518	14	1419
3	1442	1	1403
3	1128	42	640
3	887	6	881
3	827	4	777
3	579	49	573
3	562	0	551
3	509	2	359
3	501	0	486
3	492	9	458
3	462	33	452
3	339	2	260
3	267	4	235
3	266	23	205
3	198	2	153
3	195	2	150
3	189	0	125
3	123	0	93
3	112	0	111
3	97	0	96
3	91	0	91
3	87	0	85
3	66	0	50
3	62	0	62
3	59	0	40
3	49	0	49
3	40	1	36
3	36	2	36
3	33	3	30
3	16	0	16
3	13	0	9
3	10	0	10
3	2	0	1
3	2	0	1
3	2	0	2
3	1	0	1
3	1	0	1
4	63927	6077	56552
4	33089	2182	32500
4	29212	126	28310
4	19856	860	18730
4	8015	66	7683
4	6650	335	6377
4	4749	213	4484
4	4486	25	4384
4	3743	88	3543
4	2371	8	2202
4	2060	23	2030
4	2016	25	1813
4	1529	37	1529
4	1460	24	1422
4	1236	1	1204
4	1125	6	1104
4	875	8	870
4	749	8	738
4	700	1	670
4	695	17	622
4	588	2	533
4	576	7	561
4	442	1	426
4	438	0	428
4	352	0	342
4	306	0	294
4	222	1	221
4	201	3	197
4	194	0	193
4	191	0	186
4	187	20	150
4	187	8	179
4	180	0	177
4	179	1	178
4	136	2	133
4	133	0	132
4	129	1	127
4	118	0	118
4	116	0	116
4	109	1	108
4	107	0	104
4	100	4	98
4	81	0	75
4	73	3	72
4	72	1	63
4	61	1	61
4	61	0	48
4	46	0	45
4	27	0	27
4	23	0	22
4	20	0	20
4	18	0	18
4	15	0	15
4	13	0	13
4	1	0	0
5	1823	7	1743
5	142	0	137
5	29	1	29
5	23	0	23
5	7	0	7
5	4	0	4
5	1	0	1
6	696	7	0
